value,type
-2.9618996120851055,variable 2
-2.972415319278458,variable 2
-2.975111857372572,variable 2
-2.6243799755602013,variable 2
-2.874241246916524,variable 2
-2.985196920609989,variable 2
-2.952479539435686,variable 2
-2.9719481797485003,variable 2
-2.9851239318478995,variable 2
-2.9551771063537746,variable 2
-2.9842782896000646,variable 2
-2.982546532619887,variable 2
-2.9972433947625357,variable 2
-2.9885059226427106,variable 2
-2.990534398310763,variable 2
-2.7868432944657187,variable 2
-2.8473201540797914,variable 2
-2.977539000103965,variable 2
-2.9375121318998065,variable 2
-2.8783944365595966,variable 2
-2.9853680795076136,variable 2
-2.992663927939128,variable 2
-2.9455859250708576,variable 2
-2.656789278831028,variable 2
-2.9200454947615917,variable 2
-2.9810820637266082,variable 2
-2.935274243151903,variable 2
-2.966994886679828,variable 2
-2.957534153532614,variable 2
-2.975352449481527,variable 2
-2.9898538093006466,variable 2
-2.9415404120050113,variable 2
-2.955057875389794,variable 2
-2.9421384040105836,variable 2
-2.9922975334677893,variable 2
-2.936308083359361,variable 2
-2.9635183282240303,variable 2
-2.8741920151124987,variable 2
-2.9167810806683403,variable 2
-2.8910840282924726,variable 2
-2.949866624943199,variable 2
-2.9761210897902655,variable 2
-2.9534097337399317,variable 2
-2.985825247652703,variable 2
-2.9908714708216286,variable 2
-2.9900198393485122,variable 2
-2.927706904966005,variable 2
-2.885939896488724,variable 2
-2.9721919365887173,variable 2
-2.9890415752005275,variable 2
-2.874790525665714,variable 2
-2.987508563057288,variable 2
-2.989525387309732,variable 2
-2.9949534358780454,variable 2
-2.9325827241535993,variable 2
-2.992732893980388,variable 2
-2.970767662454736,variable 2
-2.9966446487950527,variable 2
-2.8700428243307012,variable 2
-2.955248155334112,variable 2
-2.9843195990777316,variable 2
-2.995489474165321,variable 2
-2.9726384299692814,variable 2
-2.998874872899782,variable 2
-2.96019960453644,variable 2
-2.997768309725668,variable 2
-2.997729456827696,variable 2
-2.960221972868452,variable 2
-2.9887866191627848,variable 2
-2.995759540458704,variable 2
-2.992899586369477,variable 2
-2.989729675198289,variable 2
-2.982972942936535,variable 2
-2.989040322573935,variable 2
-2.998654424935202,variable 2
-2.9989726636684066,variable 2
